,protein_abundance
b0475,124.0
b0476,17.0
b0477,323.0
b0478,124.0
b0479,53.0
b0480,512.0
b0481,596.0
b0482,50.0
b0483,429.0
b0484,922.0
b0485,317.0
b0486,73.0
b0487,441.0
b0488,55.0
b0489,150.0
b0490,147.0
b0491,46.0
b0492,1604.0
b0493,136.0
b0494,289.0
b0495,77.0
b0496,32.0
b0497,2.0
b0498,82.0
b0504,0.0
b0505,8.0
b0506,857.0
b0507,9.0
b0508,9.0
b0509,10.0
b0511,0.0
b0512,6.0
b0513,6.0
b0514,39.0
b0515,188.0
b0516,6.0
b0517,1.0
b0518,0.0
b0520,0.0
b0521,2.0
b0522,745.0
b0523,1194.0
b0524,68.0
b0525,8773.0
b0526,870.0
b0527,4.0
b0528,1294.0
b0529,1311.0
b0530,11.0
b0531,0.0
b0532,0.0
b0533,0.0
b0534,4.0
b0535,4.0
b0537,11.0
b0543,142.0
b0544,2.0
b0545,34.0
b0546,42.0
b0547,0.0
b0548,0.0
b0549,0.0
b0550,0.0
b0554,2.0
b0556,5.0
b0557,3140.0
b0558,0.0
b0559,19.0
b0564,72.0
b0565,24644.0
b0566,9.0
b0567,38.0
b0568,19.0
b0569,1.0
b0570,28.0
b0571,109.0
b0572,5.0
b0573,44.0
b0574,6.0
b0575,3.0
b0576,99.0
b0577,91.0
b0578,2448.0
b0579,143.0
b0580,183.0
b0581,122.0
b0583,4.0
b0584,32.0
b0585,9.0
b0586,24.0
b0587,0.0
b0588,36.0
b0589,6.0
b0590,11.0
b0591,23.0
b0592,88.0
b0593,60.0
b0594,33.0
b0595,62.0
b0596,33.0
b0597,20.0
b0598,177.0
b0599,304.0
b0600,278.0
b0601,46.0
b0602,3.0
b0603,4.0
b0604,229.0
b0605,37153.0
b0606,1554.0
b0607,789.0
b0608,53.0
b0610,502.0
b0611,470.0
b0612,0.0
b0613,0.0
b0614,0.0
b0615,0.0
b0616,0.0
b0617,1.0
b0618,0.0
b0619,2.0
b0620,60.0
b0621,0.0
b0622,6.0
b0623,29309.0
b0624,223.0
b0627,1286.0
b0628,1101.0
b0629,5.0
b0630,271.0
b0631,2166.0
b0632,1180.0
b0633,726.0
b0634,103.0
b0635,76.0
b0636,177.0
b0637,796.0
b0638,24.0
b0639,100.0
b0640,82.0
b0641,522.0
b0642,2074.0
b0643,1899.0
b0644,1.0
b0645,0.0
b0646,0.0
b0647,1.0
b0648,1.0
b0649,2.0
b0650,1.0
b0651,175.0
b0652,357.0
b0653,75.0
b0654,80.0
b0655,3332.0
b0657,128.0
b0658,665.0
b0659,475.0
b0660,885.0
b0661,1211.0
b0662,329.0
b0674,1344.0
b0675,709.0
b0676,224.0
b0677,213.0
b0678,687.0
b0679,213.0
b0680,1605.0
b0681,0.0
b0683,2619.0
b0684,4019.0
b0685,155.0
b0686,330.0
b0687,866.0
b0688,1172.0
b0689,9.0
b0692,14.0
b0693,0.0
b0694,52.0
b0695,40.0
b0696,8.0
b0697,3.0
b0698,0.0
b0699,1546.0
b0700,0.0
b0702,2.0
b0704,34.0
b0707,126.0
b0708,37.0
b0709,59.0
b0710,1725.0
b0711,241.0
b0712,289.0
b0713,137.0
b0714,93.0
b0715,8.0
b0716,0.0
b0717,1.0
b0718,0.0
b0719,2.0
b0720,8529.0
b0721,3647.0
b0722,2508.0
b0723,3418.0
b0724,4015.0
b0726,2121.0
b0727,5678.0
b0728,6381.0
b0729,6409.0
b0730,93.0
b0731,1.0
b0732,12.0
b0733,615.0
b0734,445.0
b0735,99.0
b0736,244.0
b0737,392.0
b0738,221.0
b0739,133.0
b0740,2491.0
b0741,17960.0
b0742,1511.0
b0750,1359.0
b0751,532.0
b0752,85.0
b0753,781.0
b0754,6677.0
b0755,11670.0
b0756,1015.0
b0757,258.0
b0758,135.0
b0759,728.0
b0760,407.0
b0761,158.0
b0762,2118.0
b0763,462.0
b0764,27.0
b0765,31.0
b0766,453.0
b0767,2076.0
b0768,3.0
b0769,1.0
b0770,0.0
b0771,8.0
b0772,1213.0
b0773,772.0
b0774,259.0
b0775,898.0
b0776,122.0
b0777,123.0
b0778,675.0
b0779,197.0
b0780,67.0
b0781,184.0
b0782,1774.0
b0783,551.0
b0784,554.0
b0785,483.0
b0786,832.0
b0787,6.0
b0788,15.0
b0789,92.0
b0790,127.0
b0791,130.0
b0792,32.0
b0793,27.0
b0794,33.0
b0795,127.0
b0796,59.0
b0797,100.0
b0798,10.0
b0799,15.0
b0800,875.0
b0801,2062.0
b0802,488.0
b0803,81.0
b0804,28.0
b0805,54.0
b0806,128.0
b0807,215.0
b0808,25.0
b0809,700.0
b0810,314.0
b0811,3566.0
b0812,13008.0
b0813,26.0
b0814,22947.0
b0815,38.0
b0816,0.0
b0817,251.0
b0818,36.0
b0819,1558.0
b0820,477.0
b0821,292.0
b0822,363.0
b0823,7.0
b0824,0.0
b0825,86.0
b0826,107.0
b0827,496.0
b0828,257.0
b0829,219.0
b0830,574.0
b0831,93.0
b0832,109.0
b0833,66.0
b0834,72.0
b0835,718.0
b0836,10.0
b0837,60.0
b0838,2126.0
b0839,876.0
b0840,192.0
b0841,144.0
b0842,50.0
b0843,12.0
b0844,182.0
b0845,50.0
b0846,26.0
b0847,84.0
b0848,22.0
b0849,431.0
b0850,38.0
b0851,646.0
b0852,46.0
b0853,367.0
b0854,1061.0
b0855,223.0
b0856,77.0
b0857,48.0
b0858,30.0
b0859,63.0
b0860,5888.0
b0861,93.0
b0862,107.0
b0863,2088.0
b0864,461.0
b0865,2099.0
b0866,911.0
b0867,82.0
b0868,119.0
b0869,57.0
b0870,516.0
b0871,877.0
b0872,16.0
b0873,1.0
b0874,121.0
b0875,25.0
b0876,84.0
b0877,507.0
b0878,134.0
b0879,54.0
b0880,2643.0
b0881,304.0
b0882,2420.0
b0884,5683.0
b0885,111.0
b0886,136.0
b0887,158.0
b0888,2980.0
b0889,5813.0
b0890,213.0
b0891,741.0
b0892,95.0
b0893,2024.0
b0894,21.0
b0895,27.0
b0896,16.0
b0897,1483.0
b0898,60.0
b0899,2.0
b0900,27.0
b0901,117.0
b0902,527.0
b0903,5982.0
b0904,133.0
b0905,448.0
b0906,74.0
b0907,8655.0
b0908,1636.0
b0909,22.0
b0910,536.0
b0911,18934.0
b0912,12357.0
b0913,2.0
b0914,242.0
b0915,57.0
b0916,4.0
b0917,1594.0
b0918,899.0
b0919,28.0
b0920,40.0
b0921,69.0
b0922,204.0
b0923,263.0
b0924,356.0
b0925,135.0
b0926,1407.0
b0927,706.0
b0928,7192.0
b0929,71798.0
b0930,4166.0
b0931,1038.0
b0932,1248.0
b0933,12.0
b0934,2.0
b0935,20.0
b0936,7.0
b0937,12.0
b0938,19.0
b0939,0.0
b0940,1.0
b0941,16.0
b0942,8.0
b0943,11.0
b0944,5.0
b0945,1337.0
b0946,280.0
b0947,305.0
b0948,312.0
b0949,244.0
b0950,34.0
b0951,96.0
b0952,175.0
b0953,16122.0
b0954,4392.0
b0955,131.0
b0956,360.0
b0957,69396.0
b0958,373.0
b0959,30.0
b0960,45.0
b0961,303.0
b0962,165.0
b0963,1567.0
b0964,27.0
b0965,1221.0
b0966,254.0
b0967,480.0
b0968,315.0
b0969,297.0
b0970,3556.0
b0972,7.0
b0973,7.0
b0974,3.0
b0975,4.0
b0976,4.0
b0977,2.0
b0978,35.0
b0979,26.0
b0980,42.0
b0981,23.0
b0982,33.0
b0983,21.0
b0984,4.0
b0985,5.0
b0986,0.0
b0987,66.0
b0989,3.0
b0990,73.0
b0991,2.0
b0992,3.0
b0993,4.0
b0994,4.0
b0995,101.0
b0996,1.0
b0997,3.0
b0998,1.0
b0999,548.0
b1000,583.0
b1001,5.0
b1002,306.0
b1003,2670.0
b1004,5479.0
b1006,5.0
b1007,23.0
b1008,4.0
b1009,2.0
b1010,4.0
b1011,3.0
b1012,4.0
b1013,92.0
b1014,64.0
b1015,361.0
b1018,566.0
b1019,67.0
b1020,457.0
b1021,21.0
b1022,3.0
b1023,2.0
b1024,1.0
b1025,7.0
b1029,0.0
b1033,825.0
b1034,649.0
b1035,1195.0
b1036,51.0
b1037,57.0
b1038,53.0
b1039,19.0
b1040,85.0
b1041,0.0
b1042,128.0
b1043,5.0
b1044,20.0
b1045,266.0
b1046,33.0
b1048,1637.0
b1050,36.0
b1051,5249.0
b1053,8.0
b1054,168.0
b1055,1734.0
b1056,1037.0
b1057,19.0
b1058,7.0
b1059,800.0
b1060,124.0
b1061,655.0
b1062,5040.0
b1063,215.0
b1064,2912.0
b1065,5.0
b1066,306.0
b1067,641.0
b1068,122.0
b1069,78.0
b1070,38.0
b1071,151.0
b1072,9.0
b1073,21.0
b1074,17.0
b1075,23.0
b1076,45.0
b1077,11.0
b1078,31.0
b1079,7.0
b1080,8.0
b1081,3.0
b1082,11.0
b1083,39.0
b1084,1061.0
b1085,0.0
b1086,386.0
b1087,749.0
b1088,1290.0
b1089,45388.0
b1090,117.0
b1091,1564.0
b1092,3142.0
b1093,4015.0
b1094,85961.0
b1095,1598.0
b1096,75.0
b1097,70.0
b1098,189.0
b1099,77.0
b1100,281.0
b1101,3454.0
b1102,10.0
b1103,2098.0
b1104,82.0
b1105,954.0
b1106,29.0
b1107,303.0
b1108,1110.0
b1109,925.0
b1110,79.0
b1111,129.0
b1112,1039.0
b1113,125.0
b1114,353.0
b1115,0.0
b1116,140.0
b1117,337.0
b1118,124.0
b1119,131.0
b1120,572.0
b1121,4.0
b1122,2.0
b1123,3262.0
b1124,194.0
b1125,189.0
b1126,564.0
b1127,341.0
b1128,756.0
b1129,70.0
b1130,1331.0
b1131,3041.0
b1132,320.0
b1133,608.0
b1134,138.0
b1135,172.0
b1136,38899.0
b1137,12.0
b1138,26.0
b1139,151.0
b1140,10.0
b1141,13.0
b1143,745.0
b1144,68.0
b1147,13.0
b1148,15.0
b1150,3.0
b1153,0.0
b1156,7.0
b1158,2.0
b1159,47.0
b1160,1.0
b1161,12.0
b1162,208.0
b1163,41.0
b1164,292.0
b1165,43.0
b1166,182.0
b1167,26.0
b1168,3.0
b1171,329.0
b1172,124.0
b1174,1970.0
b1175,2444.0
b1176,364.0
b1177,358.0
b1178,6872.0
b1179,890.0
b1180,531.0
b1181,246.0
b1182,11.0
b1183,27.0
b1184,12.0
b1185,357.0
b1186,187.0
b1187,395.0
b1188,287.0
b1189,181.0
b1190,54.0
b1191,55.0
b1192,179.0
b1193,609.0
b1194,9.0
b1195,213.0
b1196,5.0
b1197,243.0
b1198,414.0
b1199,410.0
b1200,318.0
b1201,24.0
b1202,3.0
b1203,1907.0
b1204,403.0
b1205,241.0
b1206,34.0
b1207,3998.0
b1208,223.0
b1209,782.0
b1210,115.0
b1211,210.0
b1212,36.0
b1213,7.0
b1214,147.0
b1215,2596.0
b1216,197.0
b1217,406.0
b1218,25.0
b1219,1120.0
b1220,21.0
b1221,1224.0
b1222,47.0
b1223,6.0
b1224,14.0
b1225,16.0
b1226,9.0
b1227,22.0
b1229,0.0
b1232,2324.0
b1233,328.0
b1234,142.0
b1235,116.0
b1236,2932.0
b1237,28848.0
b1238,404.0
b1241,4687.0
b1242,10.0
b1243,6516.0
b1244,318.0
b1245,261.0
b1246,474.0
b1247,485.0
b1248,523.0
b1249,252.0
b1250,123.0
b1251,2149.0
b1252,218.0
b1253,426.0
b1254,214.0
b1255,182.0
b1256,151.0
b1257,158.0
b1258,164.0
b1259,519.0
b1260,2506.0
b1261,2331.0
b1262,840.0
b1263,719.0
b1264,1153.0
b1265,1842.0
b1266,45.0
b1267,568.0
b1268,5.0
b1269,899.0
b1270,130.0
b1271,238.0
b1272,538.0
b1273,674.0
b1274,677.0
b1275,901.0
b1276,862.0
b1277,563.0
b1278,67.0
b1279,351.0
b1280,93.0
b1281,1286.0
b1282,628.0
b1283,1573.0
b1284,304.0
b1285,89.0
b1286,2002.0
b1287,490.0
b1288,8248.0
b1289,1.0
b1290,95.0
b1291,107.0
b1292,52.0
b1293,48.0
b1294,109.0
b1295,271.0
b1296,48.0
b1297,822.0
b1298,607.0
b1299,260.0
b1300,392.0
b1301,391.0
b1302,291.0
b1303,66.0
b1304,602.0
b1305,240.0
b1306,111.0
b1307,53.0
b1308,590.0
b1309,0.0
b1310,1.0
b1311,0.0
b1312,0.0
b1313,13.0
b1314,7.0
b1315,2.0
b1316,2.0
b1317,0.0
b1319,1.0
b1320,68.0
b1321,98.0
b1322,112.0
b1323,345.0
b1324,16961.0
b1325,101.0
b1326,163.0
b1327,69.0
b1328,74.0
b1329,202.0
b1330,83.0
b1332,5636.0
b1333,941.0
b1334,2582.0
b1335,94.0
b1336,3.0
b1337,9.0
b1338,12.0
b1339,26.0
b1340,140.0
b1341,257.0
b1342,158.0
b1343,60.0
b1344,617.0
b1345,3.0
b1346,3.0
b1347,11.0
b1349,33.0
b1350,8.0
b1351,9.0
b1352,4.0
b1353,19.0
b1355,13.0
b1356,260.0
b1357,9.0
b1358,26.0
b1359,5.0
b1360,2.0
b1363,31.0
b1365,6.0
b1372,2.0
b1376,633.0
b1377,2.0
b1378,304.0
b1379,264.0
b1380,998.0
b1381,25.0
b1382,155.0
b1383,114.0
b1384,17.0
b1385,28.0
b1386,5.0
b1387,2.0
b1388,3.0
b1389,3.0
b1390,3.0
b1391,1.0
b1392,8.0
b1393,3.0
b1394,4.0
b1395,3.0
b1396,6.0
b1397,8.0
b1398,15.0
b1399,140.0
b1400,213.0
b1406,261.0
b1407,1.0
b1408,0.0
b1409,0.0
b1410,3.0
b1411,4.0
b1412,1111.0
b1413,197.0
b1414,454.0
b1415,1620.0
b1418,803.0
b1419,50.0
b1420,1.0
b1421,1.0
b1422,506.0
b1423,11.0
b1424,259.0
b1426,85.0
b1427,217.0
b1428,83.0
b1429,27.0
b1430,768.0
b1431,882.0
b1433,12.0
b1434,35.0
b1435,203.0
b1436,57.0
b1438,233.0
b1439,90.0
b1440,103.0
b1441,10.0
b1442,6.0
b1443,5.0
b1444,228.0
b1445,104.0
b1446,1943.0
b1447,29.0
b1448,345.0
b1449,462.0
b1450,56.0
b1451,69.0
b1452,1004.0
b1453,25.0
b1454,57.0
b1455,1.0
b1457,10.0
b1460,0.0
b1461,924.0
b1462,49.0
b1463,60.0
b1464,195.0
b1465,20.0
b1466,13.0
b1467,26.0
b1468,25.0
b1469,14.0
b1470,1.0
b1473,86.0
b1474,0.0
b1475,1.0
b1476,2.0
b1477,130.0
b1478,773.0
b1479,861.0
b1480,15792.0
b1481,385.0
b1482,4306.0
b1483,5.0
b1484,4.0
b1485,3.0
b1486,2.0
b1487,40.0
b1488,19.0
b1489,20.0
b1490,81.0
b1491,122.0
b1492,348.0
b1494,30.0
b1495,18.0
b1496,4.0
b1497,3.0
b1498,32.0
b1499,8.0
b1500,0.0
b1501,23.0
b1502,5.0
b1503,0.0
b1504,3.0
b1507,62.0
b1508,91.0
b1511,12.0
b1512,44.0
b1513,2.0
b1514,1.0
b1515,2.0
b1516,28.0
b1517,37.0
b1518,51.0
b1519,291.0
b1520,65.0
b1521,8.0
b1522,1.0
b1523,43.0
b1524,72.0
b1525,152.0
b1526,55.0
b1527,4.0
b1528,95.0
b1529,94.0
b1530,20.0
b1531,394.0
b1532,29.0
b1533,156.0
b1534,18.0
b1535,13.0
b1536,213.0
b1537,38.0
b1538,980.0
b1539,3017.0
b1540,186.0
b1541,260.0
b1542,15.0
b1547,0.0
b1549,4.0
b1550,3542.0
b1551,0.0
b1552,2.0
b1555,5.0
b1556,0.0
b1557,34.0
b1558,7.0
b1560,1.0
b1561,4.0
b1562,8.0
b1563,145.0
b1564,1688.0
b1565,0.0
b1566,58.0
b1569,23.0
b1570,323.0
b1571,22.0
b1572,5.0
b1573,2.0
b1575,4.0
b1576,3.0
b1578,0.0
b1580,24.0
b1581,13.0
b1582,104.0
b1583,1337.0
b1584,679.0
b1585,164.0
b1586,692.0
b1587,2.0
b1588,29.0
b1589,32.0
b1590,15.0
b1591,210.0
b1592,10.0
b1593,30.0
b1594,56.0
b1595,24.0
b1596,22.0
b1597,117.0
b1598,92.0
b1599,26.0
b1600,32.0
b1601,19.0
b1602,2712.0
b1603,6116.0
b1604,2760.0
b1605,9.0
b1606,87.0
b1607,121.0
b1608,221.0
b1609,53.0
b1610,85.0
b1611,429.0
b1612,1969.0
b1613,576.0
b1614,871.0
b1615,0.0
b1616,0.0
b1617,5.0
b1618,113.0
b1619,1152.0
b1620,30.0
b1621,12.0
b1622,124.0
b1623,265.0
b1624,468.0
b1625,186.0
b1626,168.0
b1627,143.0
b1628,103.0
b1629,157.0
b1630,104.0
b1631,162.0
b1632,152.0
b1633,188.0
b1634,24.0
b1635,1382.0
b1636,281.0
b1637,1834.0
b1638,672.0
b1639,87.0
b1640,151.0
b1641,5758.0
b1642,925.0
b1643,41.0
b1644,27.0
b1645,6.0
b1646,483.0
b1647,460.0
b1648,46.0
b1649,27.0
b1650,220.0
b1651,2525.0
b1652,204.0
b1653,16.0
b1654,8964.0
b1655,238.0
b1656,15086.0
b1657,107.0
b1658,1217.0
b1659,43.0
b1660,40.0
b1661,1715.0
b1662,2677.0
b1663,135.0
b1664,707.0
b1667,2425.0
b1668,192.0
b1669,2.0
b1670,4.0
b1671,6.0
b1672,1.0
b1673,1.0
b1674,2.0
b1675,413.0
b1676,6184.0
b1677,619492.0
b1678,561.0
b1679,117.0
b1680,122.0
b1681,152.0
b1682,226.0
b1683,143.0
b1684,359.0
b1685,2849.0
b1686,755.0
b1687,897.0
b1688,137.0
b1689,4.0
b1690,0.0
b1691,0.0
b1692,8.0
b1693,463.0
b1694,8.0
b1695,20.0
b1696,55.0
b1697,9.0
b1698,18.0
b1699,4.0
b1700,9.0
b1701,4.0
b1702,1434.0
b1703,384.0
b1704,696.0
b1705,65.0
b1706,153.0
b1707,17.0
b1708,371.0
b1709,92.0
b1710,998.0
b1711,29.0
b1712,5115.0
b1713,2097.0
b1714,1594.0
b1715,148.0
b1716,22225.0
b1717,30428.0
b1718,5470.0
b1719,2984.0
b1722,170.0
b1723,1152.0
b1724,990.0
b1725,185.0
b1726,149.0
b1727,525.0
b1728,7.0
b1729,2257.0
b1730,4.0
b1731,139.0
b1732,1967.0
b1733,36.0
b1734,10.0
b1735,27.0
b1736,41.0
b1737,3.0
b1738,158.0
b1739,10048.0
b1740,2198.0
b1741,53.0
b1742,1.0
b1743,316.0
b1744,10.0
b1745,9.0
b1746,20.0
b1747,9.0
b1748,94.0
b1749,1111.0
b1750,3.0
b1751,23.0
b1752,10.0
b1753,37.0
b1754,76.0
b1755,4.0
b1756,19.0
b1757,97.0
b1758,42.0
b1759,107.0
b1760,45.0
b1761,5645.0
b1762,7.0
b1763,100.0
b1764,881.0
b1765,1300.0
b1766,170.0
b1767,435.0
b1768,391.0
b1769,1.0
b1770,108.0
b1771,16.0
b1772,5.0
b1773,17.0
b1774,10.0
b1775,0.0
b1776,10.0
b1777,2258.0
b1778,2643.0
b1779,59076.0
b1780,1683.0
b1781,93.0
b1782,5738.0
b1783,1047.0
b1784,148.0
b1785,1.0
b1786,24.0
b1787,565.0
b1788,24.0
b1789,39.0
b1790,34.0
b1791,11.0
b1792,485.0
b1793,261.0
b1794,158.0
b1795,6474.0
b1796,36.0
b1797,48.0
b1798,14.0
b1799,62.0
b1800,49.0
b1801,0.0
b1802,3.0
b1803,8.0
b1804,89.0
b1805,114.0
b1806,168.0
b1807,304.0
b1808,31.0
b1809,3408.0
b1810,486.0
b1811,589.0
b1812,124.0
b1813,143.0
b1814,121.0
b1816,117.0
b1817,2117.0
b1818,222.0
b1819,1997.0
b1820,82.0
b1821,30.0
b1823,50154.0
b1824,805.0
b1825,507.0
b1826,215.0
b1827,649.0
b1828,4.0
b1829,824.0
b1830,718.0
b1831,2396.0
b1832,1498.0
b1833,35.0
b1834,77.0
b1835,85.0
b1836,2582.0
b1837,88.0
b1838,13.0
b1839,1025.0
b1840,63.0
b1841,1425.0
b1842,903.0
b1843,60.0
b1844,223.0
b1845,142.0
b1846,85.0
b1847,3848.0
b1848,748.0
b1849,1987.0
b1850,3295.0
b1851,80.0
b1852,1928.0
b1853,135.0
b1854,1611.0
b1855,315.0
b1856,379.0
b1857,25238.0
b1858,468.0
b1859,301.0
b1860,196.0
b1861,249.0
b1862,1.0
b1863,61.0
b1864,2970.0
b1865,72.0
b1866,1908.0
b1867,291.0
b1868,37.0
b1869,144.0
b1870,317.0
b1872,10.0
b1873,1.0
b1874,194.0
b1875,210.0
b1876,955.0
b1877,5.0
b1878,2.0
b1879,2.0
b1880,1.0
b1881,37.0
b1882,46.0
b1883,1.0
b1884,1.0
b1885,2.0
b1886,2.0
b1887,48.0
b1888,13.0
b1889,1.0
b1890,2.0
b1891,72.0
b1892,122.0
b1895,102.0
b1896,685.0
b1897,201.0
b1900,7.0
b1901,9.0
b1902,170.0
b1904,5.0
b1905,2719.0
b1906,42.0
b1907,71.0
b1908,379.0
b1912,396.0
b1913,156.0
b1914,412.0
b1915,868.0
b1916,87.0
b1917,440.0
b1918,288.0
b1919,795.0
b1920,7219.0
b1921,17.0
b1922,9.0
