,protein_abundance
b0001,19537.0
b0002,5761.0
b0003,2287.0
b0004,5880.0
b0005,78.0
b0006,494.0
b0007,9.0
b0008,8930.0
b0009,353.0
b0010,38.0
b0011,5.0
b0013,1.0
b0014,10567.0
b0015,938.0
b0018,0.0
b0019,131.0
b0020,68.0
b0023,32415.0
b0024,0.0
b0025,233.0
b0026,2270.0
b0027,353.0
b0028,472.0
b0029,409.0
b0030,85.0
b0031,1990.0
b0032,5516.0
b0033,5867.0
b0034,258.0
b0035,2.0
b0036,11.0
b0037,8.0
b0038,11.0
b0039,18.0
b0040,0.0
b0041,4.0
b0042,6.0
b0043,1.0
b0044,4.0
b0045,1.0
b0046,91.0
b0047,39.0
b0048,398.0
b0049,184.0
b0050,260.0
b0051,500.0
b0052,136.0
b0053,1291.0
b0054,1037.0
b0055,137.0
b0058,74.0
b0059,347.0
b0060,16.0
b0061,4.0
b0062,17.0
b0063,5.0
b0064,115.0
b0065,30.0
b0066,93.0
b0067,41.0
b0068,1094.0
b0069,80.0
b0070,15.0
b0071,5305.0
b0072,4284.0
b0073,3334.0
b0074,2685.0
b0075,10282.0
b0076,11.0
b0077,944.0
b0078,1131.0
b0080,314.0
b0081,123.0
b0082,344.0
b0083,201.0
b0084,144.0
b0085,398.0
b0086,346.0
b0087,210.0
b0088,394.0
b0089,117.0
b0090,168.0
b0091,377.0
b0092,296.0
b0093,147.0
b0094,575.0
b0095,3335.0
b0096,2844.0
b0097,226.0
b0098,1148.0
b0099,77.0
b0101,796.0
b0102,373.0
b0103,133.0
b0104,3013.0
b0106,1.0
b0107,1.0
b0108,0.0
b0109,465.0
b0110,202.0
b0111,90.0
b0112,1194.0
b0113,270.0
b0114,5837.0
b0115,5226.0
b0116,9566.0
b0117,1.0
b0118,7660.0
b0119,374.0
b0120,1745.0
b0121,1960.0
b0122,238.0
b0123,1987.0
b0124,415.0
b0125,1120.0
b0126,5058.0
b0127,292.0
b0128,178.0
b0129,12.0
b0130,14.0
b0131,5227.0
b0132,8.0
b0133,1425.0
b0134,2859.0
b0135,3.0
b0136,4.0
b0137,14.0
b0138,13.0
b0139,0.0
b0140,0.0
b0141,0.0
b0142,172.0
b0143,422.0
b0144,42.0
b0145,5438.0
b0146,126.0
b0147,41.0
b0148,39.0
b0149,139.0
b0150,355.0
b0151,54.0
b0152,27.0
b0153,11.0
b0154,1124.0
b0155,50.0
b0156,4534.0
b0157,49.0
b0158,38.0
b0159,1802.0
b0160,129.0
b0161,1601.0
b0162,7.0
b0163,1682.0
b0164,3.0
b0166,8536.0
b0167,167.0
b0168,2117.0
b0169,23487.0
b0170,17031.0
b0171,2531.0
b0172,5780.0
b0173,122.0
b0174,318.0
b0175,182.0
b0176,135.0
b0177,1512.0
b0178,10662.0
b0179,982.0
b0180,3099.0
b0181,754.0
b0182,126.0
b0183,131.0
b0184,79.0
b0185,1800.0
b0186,73.0
b0187,218.0
b0188,122.0
b0189,791.0
b0190,139.0
b0191,23.0
b0192,276.0
b0193,1.0
b0194,2265.0
b0195,114.0
b0196,1180.0
b0197,10568.0
b0198,340.0
b0199,754.0
b0200,530.0
b0207,236.0
b0208,134.0
b0209,164.0
b0210,5.0
b0211,644.0
b0212,401.0
b0213,60.0
b0214,175.0
b0215,516.0
b0217,9.0
b0219,170.0
b0220,2267.0
b0221,113.0
b0222,1650.0
b0223,212.0
b0224,786.0
b0225,184.0
b0226,890.0
b0227,2.0
b0228,49.0
b0231,20.0
b0232,128.0
b0233,30.0
b0234,23.0
b0237,1694.0
b0238,2035.0
b0239,327.0
b0240,5379.0
b0241,40.0
b0242,536.0
b0243,803.0
b0245,1.0
b0246,0.0
b0247,2.0
b0248,0.0
b0249,1.0
b0250,64.0
b0251,21.0
b0252,5.0
b0253,15.0
b0254,6.0
b0260,64.0
b0261,156.0
b0262,7.0
b0267,1.0
b0268,22.0
b0269,9.0
b0270,17.0
b0271,47.0
b0272,74.0
b0273,2536.0
b0277,10.0
b0278,15.0
b0279,7.0
b0280,2224.0
b0281,293.0
b0287,2520.0
b0288,76.0
b0289,12.0
b0290,10.0
b0291,1.0
b0292,2.0
b0293,135.0
b0294,0.0
b0295,1.0
b0296,2318.0
b0301,11.0
b0303,36.0
b0304,101.0
b0305,19.0
b0306,13.0
b0307,34.0
b0308,36.0
b0310,3.0
b0311,67.0
b0312,219.0
b0313,39.0
b0314,51.0
b0315,483.0
b0316,19.0
b0317,3.0
b0318,25.0
b0319,0.0
b0320,5.0
b0321,9.0
b0323,3.0
b0324,79.0
b0325,2250.0
b0326,1.0
b0327,0.0
b0328,7.0
b0329,3826.0
b0330,10.0
b0331,0.0
b0333,1.0
b0334,1.0
b0335,0.0
b0336,1466.0
b0337,2303.0
b0338,47.0
b0339,14.0
b0340,62.0
b0341,1.0
b0342,24.0
b0343,2.0
b0344,10.0
b0345,129.0
b0346,225.0
b0347,3.0
b0348,3.0
b0349,26.0
b0350,10.0
b0351,15.0
b0352,18.0
b0353,4.0
b0354,526.0
b0355,129.0
b0356,736.0
b0357,299.0
b0358,3.0
b0363,2.0
b0364,3.0
b0365,39.0
b0366,8.0
b0367,2.0
b0368,19.0
b0369,1093.0
b0375,0.0
b0376,116.0
b0377,30.0
b0378,108.0
b0379,48.0
b0380,124.0
b0381,296.0
b0382,1040.0
b0383,190.0
b0384,454.0
b0385,5.0
b0386,1150.0
b0387,120.0
b0388,387.0
b0389,606.0
b0390,116.0
b0391,1957.0
b0393,681.0
b0394,279.0
b0396,17.0
b0397,59.0
b0398,90.0
b0399,212.0
b0400,34.0
b0401,167.0
b0402,80.0
b0403,77.0
b0404,126.0
b0405,238.0
b0406,1127.0
b0407,8494.0
b0408,437.0
b0409,462.0
b0410,428.0
b0411,3927.0
b0412,63.0
b0413,354.0
b0414,278.0
b0416,1081.0
b0417,153.0
b0418,96.0
b0419,661.0
b0420,308.0
b0421,294.0
b0422,557.0
b0423,483.0
b0424,540.0
b0425,205.0
b0426,4633.0
b0427,32.0
b0428,870.0
b0429,4458.0
b0430,2749.0
b0431,2179.0
b0432,3421.0
b0433,55.0
b0434,2277.0
b0435,2040.0
b0436,13128.0
b0437,3256.0
b0438,2475.0
b0439,1485.0
b0440,28193.0
b0441,666.0
b0442,23.0
b0443,50.0
b0444,443.0
b0446,35.0
b0447,61.0
b0448,20.0
b0449,16.0
b0450,223.0
b0451,132.0
b0452,278.0
b0453,2510.0
b0454,66.0
b0456,43.0
b0457,19.0
b0458,361.0
b0459,147.0
b0460,1656.0
b0461,49.0
b0462,0.0
b0463,1295.0
b0464,87.0
b0465,122.0
b0466,316.0
b0467,100.0
b0468,66.0
b0469,2029.0
b0471,4508.0
b0472,226.0
b0473,2421.0
b0474,7177.0
