,e_enzyme,e_enzyme_composition_string,m_gene,m_reaction
0,TM1255_Homodimer,TM1255(2),TM_1255,3SALATAi
1,TM1255_Homodimer,TM1255(2),TM_1255,3SALATAi
2,TM1255_Homodimer,TM1255(2),TM_1255,3SALATAi
3,TM1255_Homodimer,TM1255(2),TM_1255,3SALATAi
4,TM1698_assumedMonomer,TM1698(1),TM_1698,3SALATAi
5,TM1698_assumedMonomer,TM1698(1),TM_1698,3SALATAi
6,TM1698_assumedMonomer,TM1698(1),TM_1698,3SALATAi
7,TM1255_Homodimer,TM1255(2),TM_1255,ASPTA
8,TM1255_Homodimer,TM1255(2),TM_1255,ASPTA
9,TM1255_Homodimer,TM1255(2),TM_1255,ASPTA
10,TM1255_Homodimer,TM1255(2),TM_1255,ASPTA
11,TM1698_assumedMonomer,TM1698(1),TM_1698,ASPTA
12,TM1698_assumedMonomer,TM1698(1),TM_1698,ASPTA
13,TM1698_assumedMonomer,TM1698(1),TM_1698,ASPTA
14,TM1255_Homodimer,TM1255(2),TM_1255,CYSTAi
15,TM1255_Homodimer,TM1255(2),TM_1255,CYSTAi
16,TM1255_Homodimer,TM1255(2),TM_1255,CYSTAi
17,TM1255_Homodimer,TM1255(2),TM_1255,CYSTAi
18,TM1698_assumedMonomer,TM1698(1),TM_1698,CYSTAi
19,TM1698_assumedMonomer,TM1698(1),TM_1698,CYSTAi
20,TM1698_assumedMonomer,TM1698(1),TM_1698,CYSTAi
21,TM1255_Homodimer,TM1255(2),TM_1255,EHGLAT
22,TM1255_Homodimer,TM1255(2),TM_1255,EHGLAT
23,TM1255_Homodimer,TM1255(2),TM_1255,EHGLAT
24,TM1255_Homodimer,TM1255(2),TM_1255,EHGLAT
25,TM1698_assumedMonomer,TM1698(1),TM_1698,EHGLAT
26,TM1698_assumedMonomer,TM1698(1),TM_1698,EHGLAT
27,TM1698_assumedMonomer,TM1698(1),TM_1698,EHGLAT
28,TM1255_Homodimer,TM1255(2),TM_1255,LCYSTAT
29,TM1255_Homodimer,TM1255(2),TM_1255,LCYSTAT
30,TM1255_Homodimer,TM1255(2),TM_1255,LCYSTAT
31,TM1255_Homodimer,TM1255(2),TM_1255,LCYSTAT
32,TM1698_assumedMonomer,TM1698(1),TM_1698,LCYSTAT
33,TM1698_assumedMonomer,TM1698(1),TM_1698,LCYSTAT
34,TM1698_assumedMonomer,TM1698(1),TM_1698,LCYSTAT
35,TM1255_Homodimer,TM1255(2),TM_1255,PHETA1
36,TM1255_Homodimer,TM1255(2),TM_1255,PHETA1
37,TM1255_Homodimer,TM1255(2),TM_1255,PHETA1
38,TM1255_Homodimer,TM1255(2),TM_1255,PHETA1
39,TM1698_assumedMonomer,TM1698(1),TM_1698,PHETA1
40,TM1698_assumedMonomer,TM1698(1),TM_1698,PHETA1
41,TM1698_assumedMonomer,TM1698(1),TM_1698,PHETA1
42,TM1040_Homodimer,TM1040(2),TM_1040,PHETA1
43,TM1040_Homodimer,TM1040(2),TM_1040,PHETA1
44,TM1040_Homodimer,TM1040(2),TM_1040,PHETA1
45,TM1040_Homodimer,TM1040(2),TM_1040,PHETA1
46,TM1040_Homodimer,TM1040(2),TM_1040,PHETA1
47,TM1255_Homodimer,TM1255(2),TM_1255,TYRTA
48,TM1255_Homodimer,TM1255(2),TM_1255,TYRTA
49,TM1255_Homodimer,TM1255(2),TM_1255,TYRTA
50,TM1255_Homodimer,TM1255(2),TM_1255,TYRTA
51,TM1698_assumedMonomer,TM1698(1),TM_1698,TYRTA
52,TM1698_assumedMonomer,TM1698(1),TM_1698,TYRTA
53,TM1698_assumedMonomer,TM1698(1),TM_1698,TYRTA
54,TM1040_Homodimer,TM1040(2),TM_1040,TYRTA
55,TM1040_Homodimer,TM1040(2),TM_1040,TYRTA
56,TM1040_Homodimer,TM1040(2),TM_1040,TYRTA
57,TM1040_Homodimer,TM1040(2),TM_1040,TYRTA
58,TM1040_Homodimer,TM1040(2),TM_1040,TYRTA
59,ACALDi_cplx,TM0111(1) AND TM0920(1),TM_0111,ACALDi
60,ACALDi_cplx,TM0111(1) AND TM0920(1),TM_0920,ACALDi
61,ACALDi_cplx,TM0111(1) AND TM0920(1),TM_0920,ACALDi
62,ACALDi_cplx,TM0111(1) AND TM0920(1),TM_0920,ACALDi
63,ALCD19_cplx,TM0111(1) AND TM0920(1),TM_0111,ALCD19
64,ALCD19_cplx,TM0111(1) AND TM0920(1),TM_0920,ALCD19
65,ALCD19_cplx,TM0111(1) AND TM0920(1),TM_0920,ALCD19
66,ALCD19_cplx,TM0111(1) AND TM0920(1),TM_0920,ALCD19
67,TM1785_Homodimer,TM1785(2),TM_1785,ACOTA
68,TM1785_Homodimer,TM1785(2),TM_1785,ACOTA
69,TM1785_Homodimer,TM1785(2),TM_1785,ADAPAT
70,TM1785_Homodimer,TM1785(2),TM_1785,ADAPAT
71,TM0655_assumedMonomer,TM0655(1),TM_0655,ADMDC
72,TM0655_assumedMonomer,TM0655(1),TM_0655,ADMDC
73,TM0655_assumedMonomer,TM0655(1),TM_0655,ADMDC
74,TM0655_assumedMonomer,TM0655(1),TM_0655,ADMDC
75,TM0655_assumedMonomer,TM0655(1),TM_0655,ADMDC
76,TM0655_assumedMonomer,TM0655(1),TM_0655,ADMDC
77,TM1095_assumedMonomer,TM1095(1),TM_1095,ADSL1r
78,TM1095_assumedMonomer,TM1095(1),TM_1095,ADSL1r
79,TM1095_assumedMonomer,TM1095(1),TM_1095,ADSL2r
80,TM1095_assumedMonomer,TM1095(1),TM_1095,ADSL2r
81,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1272,ASNTRAT
82,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1272,ASNTRAT
83,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1272,ASNTRAT
84,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1272,ASNTRAT
85,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1272,ASNTRAT
86,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1272,ASNTRAT
87,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_0252,ASNTRAT
88,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_0252,ASNTRAT
89,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_0252,ASNTRAT
90,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_0252,ASNTRAT
91,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_0252,ASNTRAT
92,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1273,ASNTRAT
93,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1273,ASNTRAT
94,ASNTRAT_cplx,TM1272(1) AND TM1273(1) AND TM0252(1),TM_1273,ASNTRAT
